=== RESULTS FOR FILE: 1-I.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
lvhp_time,45.34,45.3,0.04,0.10%
lvhp_percent,36.83,36.8,0.03,0.09%
lvmp_time,20.86,20.7,0.16,0.78%
lvmp_percent,16.95,16.8,0.15,0.87%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,16.72,16.7,0.02,0.14%
mvhp_percent,13.59,13.6,0.01,0.11%
mvmp_time,27.07,27.1,0.03,0.11%
mvmp_percent,21.99,22,0.01,0.05%
mvlp_time,2.24,2.2,0.04,1.85%
mvlp_percent,1.82,1.8,0.02,1.14%
hvhp_time,6.03,6,0.03,0.57%
hvhp_percent,4.9,4.9,0,0.04%
hvmp_time,34.31,34.3,0.01,0.03%
hvmp_percent,27.87,27.9,0.03,0.10%
hvlp_time,5.17,5.2,0.03,0.53%
hvlp_percent,4.2,4.2,0,0.04%
,,,,
=== RESULTS FOR FILE: 99-XCIX.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,81564.66,83831.2,2266.54,2.78%
total_time,218.09,218.6,0.51,0.24%
rest_time,65.89,61.9,3.99,6.05%
first_quartile,466.16,466.2,0.04,0.01%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,622.25,587.3,34.95,5.62%
lvhp_time,65.46,67.7,2.24,3.42%
lvhp_percent,43.01,43.2,0.19,0.44%
lvmp_time,0.96,1,0.04,4.44%
lvmp_percent,0.63,0.6,0.03,4.62%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,41.37,43.3,1.93,4.68%
mvhp_percent,27.18,27.6,0.42,1.55%
mvmp_time,5.11,5.4,0.29,5.75%
mvmp_percent,3.36,3.4,0.04,1.34%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,33.95,34.2,0.25,0.72%
hvhp_percent,22.31,21.8,0.51,2.28%
hvmp_time,20.16,20.3,0.14,0.70%
hvmp_percent,13.25,13,0.25,1.85%
hvlp_time,0.32,0.3,0.02,6.00%
hvlp_percent,0.21,0.2,0.01,4.62%
,,,,
=== RESULTS FOR FILE: 100-C.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,153539.33,153359.3,180.03,0.12%
total_time,466.77,476.4,9.63,2.06%
rest_time,133.75,143.2,9.45,7.07%
first_quartile,369.99,349.2,20.79,5.62%
median_freq,440,440,0,0.00%
third_quartile,554.37,523.2,31.17,5.62%
lvhp_time,79.19,78.4,0.79,0.99%
lvhp_percent,23.78,23.5,0.28,1.17%
lvmp_time,61.58,62.4,0.82,1.33%
lvmp_percent,18.49,18.7,0.21,1.13%
lvlp_time,5.96,5.9,0.06,0.98%
lvlp_percent,1.79,1.8,0.01,0.60%
mvhp_time,60.97,60.3,0.67,1.11%
mvhp_percent,18.31,18.1,0.21,1.14%
mvmp_time,85.32,86,0.68,0.80%
mvmp_percent,25.62,25.8,0.18,0.71%
mvlp_time,12.95,12.9,0.05,0.36%
mvlp_percent,3.89,3.9,0.01,0.32%
hvhp_time,53.17,52.5,0.67,1.26%
hvhp_percent,15.97,15.8,0.17,1.04%
hvmp_time,107.5,108.7,1.2,1.12%
hvmp_percent,32.28,32.6,0.32,1.00%
hvlp_time,22,22,0,0.01%
hvlp_percent,6.61,6.6,0.01,0.10%
,,,,
=== RESULTS FOR FILE: 101-CI.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,48193.72,48170,23.72,0.05%
total_time,117,117,0,0.00%
rest_time,17,17,0,0.00%
first_quartile,415.31,415.3,0.01,0.00%
median_freq,493.88,493.9,0.02,0.00%
third_quartile,493.88,493.9,0.02,0.00%
lvhp_time,18.33,18.3,0.03,0.18%
lvhp_percent,18.33,18.3,0.03,0.18%
lvmp_time,4.67,5,0.33,7.14%
lvmp_percent,4.67,5,0.33,7.14%
lvlp_time,2,2,0,0.00%
lvlp_percent,2,2,0,0.00%
mvhp_time,15.17,15.2,0.03,0.22%
mvhp_percent,15.17,15.2,0.03,0.22%
mvmp_time,12.33,12.7,0.37,2.97%
mvmp_percent,12.33,12.7,0.37,2.97%
mvlp_time,2,2,0,0.00%
mvlp_percent,2,2,0,0.00%
hvhp_time,13.5,13.5,0,0.00%
hvhp_percent,13.5,13.5,0,0.00%
hvmp_time,21.83,21.8,0.03,0.15%
hvmp_percent,21.83,21.8,0.03,0.15%
hvlp_time,2,2,0,0.00%
hvlp_percent,2,2,0,0.00%
,,,,
=== RESULTS FOR FILE: 102-CII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,53490.65,53375.7,114.95,0.21%
total_time,155.34,154.6,0.74,0.48%
rest_time,54.07,53.8,0.27,0.50%
first_quartile,440,440,0,0.00%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,587.33,587.3,0.03,0.01%
lvhp_time,52.11,52.4,0.29,0.55%
lvhp_percent,51.46,52,0.54,1.04%
lvmp_time,6.67,6.3,0.37,5.51%
lvmp_percent,6.58,6.3,0.28,4.31%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,38.99,39,0.01,0.02%
mvhp_percent,38.51,38.7,0.19,0.50%
mvmp_time,9.88,8.9,0.98,9.93%
mvmp_percent,9.76,8.8,0.96,9.81%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,21.62,21.6,0.02,0.09%
hvhp_percent,21.35,21.5,0.15,0.70%
hvmp_time,21.37,20.8,0.57,2.68%
hvmp_percent,21.1,20.6,0.5,2.39%
hvlp_time,0.8,0.8,0,0.08%
hvlp_percent,0.79,0.8,0.01,1.35%
,,,,
=== RESULTS FOR FILE: 103-CIII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,79031.41,79116.2,84.79,0.11%
total_time,216.81,216.8,0.01,0.00%
rest_time,63.21,63.1,0.11,0.17%
first_quartile,440,440,0,0.00%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,554.37,554.4,0.03,0.01%
lvhp_time,84.13,84.6,0.47,0.56%
lvhp_percent,54.77,55.1,0.33,0.60%
lvmp_time,0,0,0,0.00%
lvmp_percent,0,0,0,0.00%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,32.54,32.7,0.16,0.49%
mvhp_percent,21.18,21.3,0.12,0.55%
mvmp_time,13.59,13.6,0.01,0.04%
mvmp_percent,8.85,8.8,0.05,0.57%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,25.91,25.9,0.01,0.04%
hvhp_percent,16.87,16.8,0.07,0.40%
hvmp_time,24.05,24,0.05,0.23%
hvmp_percent,15.66,15.6,0.06,0.39%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 104-CIV.mid===,,,,
