=== RESULTS FOR FILE: 1-I.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
hvmp_percent,34.84,34.9,0.06,0.16%
hvlp_time,10.67,10.9,0.23,2.15%
hvlp_percent,5.11,5.2,0.09,1.83%
,,,,
=== RESULTS FOR FILE: 112-CXII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,64972.4,65603.9,631.5,0.97%
total_time,189.6,192,2.4,1.27%
rest_time,72,72.9,0.9,1.25%
first_quartile,493.88,493.9,0.02,0.00%
median_freq,554.37,554.4,0.03,0.01%
third_quartile,622.25,622.2,0.05,0.01%
lvhp_time,50.65,51.4,0.75,1.48%
lvhp_percent,43.07,43.2,0.13,0.30%
lvmp_time,7.3,8.2,0.9,12.33%
lvmp_percent,6.21,6.9,0.69,11.16%
lvlp_time,0.6,0.6,0,0.00%
lvlp_percent,0.51,0.5,0.01,2.00%
mvhp_time,44.1,44.7,0.6,1.36%
mvhp_percent,37.5,37.5,0,0.00%
mvmp_time,16.3,17.2,0.9,5.52%
mvmp_percent,13.86,14.4,0.54,3.89%
mvlp_time,0.6,0.6,0,0.00%
mvlp_percent,0.51,0.5,0.01,2.00%
hvhp_time,38.9,38.9,0,0.00%
hvhp_percent,33.08,32.7,0.38,1.14%
hvmp_time,18.4,19.3,0.9,4.89%
hvmp_percent,15.65,16.2,0.55,3.54%
hvlp_time,0.6,0.6,0,0.00%
hvlp_percent,0.51,0.5,0.01,2.00%
,,,,
=== RESULTS FOR FILE: 113-CXIII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,48794.04,48794,0.04,0.00%
total_time,162,162,0,0.00%
rest_time,53.25,53.2,0.05,0.09%
first_quartile,349.23,349.2,0.03,0.01%
median_freq,440,440,0,0.00%
third_quartile,587.33,587.3,0.03,0.01%
lvhp_time,22.12,22.1,0.02,0.11%
lvhp_percent,20.34,20.3,0.04,0.22%
lvmp_time,16.12,16.1,0.02,0.16%
lvmp_percent,14.83,14.8,0.03,0.19%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,27.75,27.8,0.05,0.18%
mvhp_percent,25.52,25.5,0.02,0.07%
mvmp_time,37.5,37.5,0,0.00%
mvmp_percent,34.48,34.5,0.02,0.05%
mvlp_time,3.75,3.8,0.05,1.33%
mvlp_percent,3.45,3.4,0.05,1.40%
hvhp_time,15,15,0,0.00%
hvhp_percent,13.79,13.8,0.01,0.05%
hvmp_time,34.88,34.9,0.02,0.07%
hvmp_percent,32.07,32.1,0.03,0.10%
hvlp_time,15.38,15.4,0.02,0.16%
hvlp_percent,14.14,14.1,0.04,0.27%
,,,,
=== RESULTS FOR FILE: 114-CXIV.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,54742.26,54586.5,155.76,0.28%
total_time,168.44,172.7,4.26,2.53%
rest_time,54.35,58.6,4.25,7.82%
first_quartile,349.23,349.2,0.03,0.01%
median_freq,466.16,493.9,27.74,5.95%
third_quartile,523.25,554.4,31.15,5.95%
lvhp_time,37.25,37.2,0.05,0.13%
lvhp_percent,32.65,32.6,0.05,0.15%
lvmp_time,19.65,19.6,0.05,0.28%
lvmp_percent,17.23,17.2,0.03,0.16%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,22.87,22.4,0.47,2.04%
mvhp_percent,20.04,19.7,0.34,1.71%
mvmp_time,25.17,25.6,0.43,1.72%
mvmp_percent,22.06,22.4,0.34,1.54%
mvlp_time,6.15,6.2,0.05,0.75%
mvlp_percent,5.39,5.4,0.01,0.11%
hvhp_time,17.53,17.1,0.43,2.48%
hvhp_percent,15.37,15,0.37,2.40%
hvmp_time,30.55,31,0.45,1.46%
hvmp_percent,26.78,27.2,0.42,1.57%
hvlp_time,10.08,10.1,0.02,0.24%
hvlp_percent,8.83,8.8,0.03,0.35%
,,,,
=== RESULTS FOR FILE: 115-CXV.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,72196.22,72430.3,234.08,0.32%
total_time,282,280.7,1.3,0.46%
rest_time,138.73,137.2,1.53,1.10%
first_quartile,392,392,0,0.00%
median_freq,508.56,523.2,14.64,2.88%
third_quartile,587.33,587.3,0.03,0.01%
lvhp_time,50.71,51.5,0.79,1.56%
lvhp_percent,35.39,35.9,0.51,1.43%
lvmp_time,7.62,7.6,0.02,0.33%
lvmp_percent,5.32,5.3,0.02,0.42%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,38.33,38.2,0.13,0.35%
mvhp_percent,26.76,26.6,0.16,0.58%
mvmp_time,14.46,14.5,0.04,0.29%
mvmp_percent,10.09,10.1,0.01,0.08%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,29.81,29.7,0.11,0.38%
hvhp_percent,20.81,20.7,0.11,0.52%
hvmp_time,48.33,47.7,0.63,1.31%
hvmp_percent,33.74,33.2,0.54,1.59%
hvlp_time,6.79,6.8,0.01,0.12%
hvlp_percent,4.74,4.7,0.04,0.85%
,,,,
=== RESULTS FOR FILE: 116-CXVI.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,68414.26,68504.2,89.94,0.13%
total_time,185.62,185.6,0.02,0.01%
rest_time,16.25,16.2,0.05,0.31%
first_quartile,293.67,293.7,0.03,0.01%
median_freq,440,440,0,0.00%
third_quartile,523.25,523.2,0.05,0.01%
lvhp_time,46.88,46.9,0.02,0.05%
lvhp_percent,27.68,27.7,0.02,0.09%
lvmp_time,45,45,0,0.00%
lvmp_percent,26.57,26.6,0.03,0.12%
lvlp_time,7.5,7.5,0,0.00%
lvlp_percent,4.43,4.4,0.03,0.63%
mvhp_time,16.88,16.9,0.02,0.15%
mvhp_percent,9.96,10,0.04,0.37%
mvmp_time,34.06,34.1,0.04,0.11%
mvmp_percent,20.11,20.1,0.01,0.05%
mvlp_time,33.12,33.1,0.02,0.08%
mvlp_percent,19.56,19.6,0.04,0.22%
hvhp_time,9.38,9.4,0.02,0.27%
hvhp_percent,5.54,5.5,0.04,0.63%
hvmp_time,37.81,35.9,1.91,5.06%
hvmp_percent,22.32,21.2,1.12,5.04%
hvlp_time,35,35,0,0.00%
hvlp_percent,20.66,20.7,0.04,0.17%
,,,,
=== RESULTS FOR FILE: 117-CXVII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,56388.12,56391.9,3.78,0.01%
total_time,143.41,143.4,0.01,0.01%
rest_time,36.59,36.6,0.01,0.04%
first_quartile,415.31,415.3,0.01,0.00%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,622.25,622.2,0.05,0.01%
lvhp_time,35.85,36,0.15,0.41%
lvhp_percent,33.56,33.7,0.14,0.41%
lvmp_time,8.41,8.6,0.19,2.20%
lvmp_percent,7.88,8,0.12,1.57%
lvlp_time,0.37,0.4,0.03,9.33%
lvlp_percent,0.34,0.3,0.04,12.40%
mvhp_time,32.38,32.2,0.18,0.55%
mvhp_percent,30.31,30.1,0.21,0.69%
mvmp_time,16.28,16.5,0.22,1.35%
mvmp_percent,15.24,15.4,0.16,1.05%
mvlp_time,3.29,3.3,0.01,0.22%
mvlp_percent,3.08,3.1,0.02,0.58%
hvhp_time,24.7,24.5,0.2,0.79%
hvhp_percent,23.12,22.9,0.22,0.94%
hvmp_time,20.85,21,0.15,0.70%
hvmp_percent,19.52,19.7,0.18,0.92%
hvlp_time,3.66,3.7,0.04,1.13%
hvlp_percent,3.42,3.4,0.02,0.72%
,,,,
=== RESULTS FOR FILE: 118-CXVIII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,65189.13,66080.1,890.97,1.37%
total_time,201.61,203.8,2.19,1.09%
rest_time,49.59,49.5,0.09,0.18%
first_quartile,349.23,349.2,0.03,0.01%
median_freq,415.31,392,23.31,5.61%
third_quartile,493.88,493.9,0.02,0.00%
lvhp_time,28.21,28.2,0.01,0.02%
lvhp_percent,18.55,18.3,0.25,1.37%
lvmp_time,35.59,36,0.41,1.16%
lvmp_percent,23.41,23.3,0.11,0.46%
lvlp_time,1.46,1.5,0.04,2.50%
lvlp_percent,0.96,0.9,0.06,6.51%
mvhp_time,16.23,16.2,0.03,0.17%
mvhp_percent,10.67,10.5,0.17,1.63%
mvmp_time,48.85,50,1.15,2.35%
mvmp_percent,32.13,32.4,0.27,0.83%
mvlp_time,9.51,9.5,0.01,0.13%
mvlp_percent,6.26,6.2,0.06,0.91%
hvhp_time,8.97,9,0.03,0.38%
hvhp_percent,5.9,5.8,0.1,1.66%
hvmp_time,55.98,56.7,0.72,1.29%
hvmp_percent,36.82,36.8,0.02,0.06%
hvlp_time,19.76,19.8,0.04,0.22%
hvlp_percent,13,12.8,0.2,1.50%
,,,,
=== RESULTS FOR FILE: 119-CXIX.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,35944.43,35944.4,0.03,0.00%
total_time,105,105,0,0.00%
rest_time,31.25,31.3,0.05,0.16%
first_quartile,415.31,415.3,0.01,0.00%
median_freq,466.16,466.2,0.04,0.01%
third_quartile,554.37,554.4,0.03,0.01%
lvhp_time,28.96,29,0.04,0.14%
lvhp_percent,39.27,39.3,0.03,0.09%
lvmp_time,5,5,0,0.00%
lvmp_percent,6.78,6.8,0.02,0.30%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,15.07,15.1,0.03,0.20%
mvhp_percent,20.43,20.4,0.03,0.16%
mvmp_time,12.08,12.1,0.02,0.14%
mvmp_percent,16.38,16.4,0.02,0.10%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,15.07,15.1,0.03,0.20%
hvhp_percent,20.43,20.4,0.03,0.16%
hvmp_time,15.97,16,0.03,0.17%
hvmp_percent,21.66,21.7,0.04,0.20%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 120-CXX.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,119451.31,119589.5,138.19,0.12%
total_time,275.09,278.5,3.41,1.24%
rest_time,45.28,48.7,3.42,7.55%
first_quartile,440,440,0,0.00%
median_freq,493.88,493.9,0.02,0.00%
third_quartile,587.33,587.3,0.03,0.01%
lvhp_time,73.58,73.3,0.28,0.39%
lvhp_percent,32.02,31.9,0.12,0.37%
lvmp_time,0,0,0,0.00%
lvmp_percent,0,0,0,0.00%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,66.51,67.1,0.59,0.89%
mvhp_percent,28.94,29.2,0.26,0.90%
mvmp_time,15.28,15.3,0.02,0.11%
mvmp_percent,6.65,6.7,0.05,0.75%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,53.77,54.3,0.53,0.98%
hvhp_percent,23.4,23.6,0.2,0.86%
hvmp_time,33.11,33.1,0.01,0.04%
hvmp_percent,14.41,14.4,0.01,0.06%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 121-CXXI.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,29705.64,29705.6,0.04,0.00%
total_time,111.27,111.3,0.03,0.02%
rest_time,55.91,55.9,0.01,0.02%
first_quartile,466.16,466.2,0.04,0.01%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,622.25,622.2,0.05,0.01%
lvhp_time,19.91,19.9,0.01,0.05%
lvhp_percent,35.96,36,0.04,0.11%
lvmp_time,2.45,2.5,0.05,1.85%
lvmp_percent,4.43,4.4,0.03,0.76%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,23.45,23.5,0.05,0.19%
mvhp_percent,42.36,42.4,0.04,0.08%
mvmp_time,4.36,4.4,0.04,0.83%
mvmp_percent,7.88,7.9,0.02,0.23%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,18.55,18.5,0.05,0.25%
hvhp_percent,33.5,33.5,0,0.01%
hvmp_time,7.91,7.9,0.01,0.11%
hvmp_percent,14.29,14.3,0.01,0.10%
hvlp_time,0.27,0.3,0.03,10.00%
hvlp_percent,0.49,0.5,0.01,1.50%
,,,,
=== RESULTS FOR FILE: 122-CXXII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,101858.64,102596.2,737.56,0.72%
total_time,240.89,243.1,2.21,0.92%
rest_time,60.76,61.9,1.14,1.88%
first_quartile,493.88,493.9,0.02,0.00%
median_freq,587.33,523.2,64.13,10.92%
third_quartile,659.25,659.3,0.05,0.01%
lvhp_time,102.63,103.5,0.87,0.85%
lvhp_percent,56.97,57.1,0.13,0.22%
lvmp_time,0.8,0.8,0,0.27%
lvmp_percent,0.44,0.4,0.04,9.70%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,74.69,75.1,0.41,0.55%
mvhp_percent,41.46,41.4,0.06,0.15%
mvmp_time,2.9,2.9,0,0.01%
mvmp_percent,1.61,1.6,0.01,0.61%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,47.57,47.9,0.33,0.70%
hvhp_percent,26.41,26.4,0.01,0.02%
hvmp_time,17.06,17,0.06,0.38%
hvmp_percent,9.47,9.4,0.07,0.78%
hvlp_time,0.64,0.6,0.04,6.00%
hvlp_percent,0.35,0.4,0.05,12.88%
,,,,
=== RESULTS FOR FILE: 123-CXXIII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,79791.91,79594.6,197.31,0.25%
total_time,260.66,261.4,0.74,0.29%
rest_time,89.1,90.2,1.1,1.23%
first_quartile,392,392,0,0.00%
median_freq,466.16,466.2,0.04,0.01%
third_quartile,523.25,523.2,0.05,0.01%
lvhp_time,49.6,49.5,0.1,0.20%
lvhp_percent,28.91,28.9,0.01,0.04%
lvmp_time,13.12,13.1,0.02,0.14%
lvmp_percent,7.65,7.6,0.05,0.61%
lvlp_time,2.2,2.2,0,0.22%
lvlp_percent,1.28,1.3,0.02,1.60%
mvhp_time,27.77,27.7,0.07,0.26%
mvhp_percent,16.19,16.2,0.01,0.07%
mvmp_time,31.58,31.5,0.08,0.26%
mvmp_percent,18.41,18.4,0.01,0.05%
mvlp_time,7.85,7.8,0.05,0.67%
mvlp_percent,4.58,4.6,0.02,0.49%
hvhp_time,17.53,17.5,0.03,0.20%
hvhp_percent,10.22,10.2,0.02,0.21%
hvmp_time,53.35,53.2,0.15,0.29%
hvmp_percent,31.1,31.1,0,0.00%
hvlp_time,8.39,8.4,0.01,0.14%
hvlp_percent,4.89,4.9,0.01,0.21%
,,,,
=== RESULTS FOR FILE: 124-CXXIV.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,57677.69,57682,4.31,0.01%
total_time,137.66,137.6,0.06,0.04%
rest_time,42.33,42.3,0.03,0.08%
first_quartile,466.16,523.2,57.04,12.24%
median_freq,622.25,622.2,0.05,0.01%
third_quartile,698.46,698.5,0.04,0.01%
lvhp_time,41.74,41.7,0.04,0.09%
lvhp_percent,43.78,43.8,0.02,0.04%
lvmp_time,2.38,2.4,0.02,0.92%
lvmp_percent,2.49,2.5,0.01,0.22%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,43.69,43.5,0.19,0.44%
mvhp_percent,45.83,45.6,0.23,0.51%
mvmp_time,4.94,4.9,0.04,0.79%
mvmp_percent,5.18,5.2,0.02,0.37%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,44.34,44.1,0.24,0.54%
hvhp_percent,46.51,46.3,0.21,0.46%
hvmp_time,9.88,9.9,0.02,0.22%
hvmp_percent,10.36,10.4,0.04,0.37%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 125-CXXV.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,77341.34,77307.8,33.54,0.04%
total_time,179.1,179.3,0.2,0.11%
rest_time,34.05,33,1.05,3.07%
first_quartile,440,440,0,0.00%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,659.25,587.3,71.95,10.91%
lvhp_time,62.64,62.1,0.54,0.86%
lvhp_percent,43.18,42.5,0.68,1.59%
lvmp_time,2.71,3,0.29,10.60%
lvmp_percent,1.87,2,0.13,6.96%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,46.07,43.5,2.57,5.57%
mvhp_percent,31.76,29.8,1.96,6.17%
mvmp_time,9.85,11.4,1.55,15.70%
mvmp_percent,6.79,7.8,1.01,14.83%
mvlp_time,1.1,1.1,0,0.22%
mvlp_percent,0.76,0.8,0.04,5.73%
hvhp_time,35.46,34,1.46,4.12%
hvhp_percent,24.45,23.2,1.25,5.11%
hvmp_time,19.03,21.8,2.77,14.57%
hvmp_percent,13.12,14.9,1.78,13.59%
hvlp_time,1.1,1.1,0,0.22%
hvlp_percent,0.76,0.8,0.04,5.73%
,,,,
=== RESULTS FOR FILE: 126-CXXVI.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,70257.82,70778.2,520.38,0.74%
total_time,228.29,228.3,0.01,0.00%
rest_time,100.79,99.9,0.89,0.89%
first_quartile,493.88,493.9,0.02,0.00%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,659.25,659.3,0.05,0.01%
lvhp_time,78.11,78.3,0.19,0.24%
lvhp_percent,61.26,61,0.26,0.43%
lvmp_time,0,0,0,0.00%
lvmp_percent,0,0,0,0.00%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,54.7,55.6,0.9,1.65%
mvhp_percent,42.9,43.3,0.4,0.94%
mvmp_time,0,0,0,0.00%
mvmp_percent,0,0,0,0.00%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,32.2,33.3,1.1,3.43%
hvhp_percent,25.25,25.9,0.65,2.57%
hvmp_time,12.8,13.5,0.7,5.43%
hvmp_percent,10.04,10.5,0.46,4.55%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 127-CXXVII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,70900.08,71007.4,107.32,0.15%
total_time,179.82,180,0.18,0.10%
rest_time,47.93,47.9,0.03,0.06%
first_quartile,440,440,0,0.00%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,587.33,587.3,0.03,0.01%
lvhp_time,47.74,47.9,0.16,0.33%
lvhp_percent,36.2,36.2,0,0.00%
lvmp_time,5.49,5.5,0.01,0.22%
lvmp_percent,4.16,4.2,0.04,0.94%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,30.55,30.5,0.05,0.16%
mvhp_percent,23.16,23.1,0.06,0.27%
mvmp_time,11.89,11.7,0.19,1.60%
mvmp_percent,9.02,8.9,0.12,1.28%
mvlp_time,0.73,0.7,0.03,4.33%
mvlp_percent,0.55,0.6,0.05,8.15%
hvhp_time,28.54,28.4,0.14,0.48%
hvhp_percent,21.64,21.5,0.14,0.63%
hvmp_time,22.32,22.3,0.02,0.08%
hvmp_percent,16.92,16.9,0.02,0.12%
hvlp_time,4.02,4,0.02,0.61%
hvlp_percent,3.05,3,0.05,1.68%
,,,,
=== RESULTS FOR FILE: 128-CXXVIII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,74246.15,74147.9,98.25,0.13%
total_time,184.18,189.4,5.22,2.84%
rest_time,52.71,58.4,5.69,10.80%
first_quartile,493.88,493.9,0.02,0.00%
median_freq,587.33,587.3,0.03,0.01%
third_quartile,659.25,659.3,0.05,0.01%
lvhp_time,69.77,69.2,0.57,0.81%
lvhp_percent,53.07,52.8,0.27,0.50%
lvmp_time,0,0,0,0.00%
lvmp_percent,0,0,0,0.00%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,54.3,53.9,0.4,0.74%
mvhp_percent,41.3,41.1,0.2,0.50%
mvmp_time,0,0,0,0.00%
mvmp_percent,0,0,0,0.00%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,44.09,44.8,0.71,1.60%
hvhp_percent,33.54,34.2,0.66,1.97%
hvmp_time,18.91,18.8,0.11,0.60%
hvmp_percent,14.39,14.3,0.09,0.60%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 129-CXXIX.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,65585.57,65587,1.43,0.00%
total_time,175.34,175.3,0.04,0.03%
rest_time,48.88,48.8,0.08,0.16%
first_quartile,440,440,0,0.00%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,587.33,587.3,0.03,0.01%
lvhp_time,56.38,56.4,0.02,0.04%
lvhp_percent,44.58,44.6,0.02,0.04%
lvmp_time,4.27,4.3,0.03,0.77%
lvmp_percent,3.37,3.4,0.03,0.76%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,34.78,34.9,0.12,0.33%
mvhp_percent,27.51,27.6,0.09,0.34%
mvmp_time,6.34,6.3,0.04,0.57%
mvmp_percent,5.01,5,0.01,0.20%
mvlp_time,1.81,1.8,0.01,0.57%
mvlp_percent,1.43,1.4,0.03,2.20%
hvhp_time,19.78,20.1,0.32,1.59%
hvhp_percent,15.64,15.9,0.26,1.64%
hvmp_time,28.58,28.6,0.02,0.08%
hvmp_percent,22.6,22.6,0,0.01%
hvlp_time,2.33,2.3,0.03,1.19%
hvlp_percent,1.84,1.8,0.04,2.20%
,,,,
=== RESULTS FOR FILE: 130-CXXX.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,78214.2,76554.9,1659.3,2.12%
total_time,196.89,201.3,4.41,2.24%
rest_time,60.68,67.3,6.62,10.91%
first_quartile,466.16,466.2,0.04,0.01%
median_freq,554.37,554.4,0.03,0.01%
third_quartile,659.25,659.3,0.05,0.01%
lvhp_time,52.89,52.3,0.59,1.11%
lvhp_percent,38.83,39,0.17,0.44%
lvmp_time,8.88,9.3,0.42,4.71%
lvmp_percent,6.52,6.9,0.38,5.82%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,47.95,47.8,0.15,0.31%
mvhp_percent,35.2,35.7,0.5,1.42%
mvmp_time,20.92,21.1,0.18,0.86%
mvmp_percent,15.36,15.8,0.44,2.87%
mvlp_time,0.2,0.2,0,1.33%
mvlp_percent,0.14,0.1,0.04,30.98%
hvhp_time,46.96,46.9,0.06,0.13%
hvhp_percent,34.48,35,0.52,1.52%
hvmp_time,22.11,22.3,0.19,0.88%
hvmp_percent,16.23,16.6,0.37,2.29%
hvlp_time,0.2,0.2,0,1.33%
hvlp_percent,0.14,0.1,0.04,30.98%
,,,,
=== RESULTS FOR FILE: 131-CXXXI.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,62488.86,62095.4,393.46,0.63%
total_time,138.6,136.8,1.8,1.30%
rest_time,24,22.8,1.2,5.00%
first_quartile,440,440,0,0.00%
median_freq,523.25,493.9,29.35,5.61%
third_quartile,587.33,587.3,0.03,0.01%
lvhp_time,44.1,44.1,0,0.00%
lvhp_percent,38.48,38.7,0.22,0.57%
lvmp_time,4.2,4.2,0,0.00%
lvmp_percent,3.66,3.7,0.04,0.96%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,38.4,39.6,1.2,3.12%
mvhp_percent,33.51,34.7,1.19,3.56%
mvmp_time,4.2,4.2,0,0.00%
mvmp_percent,3.66,3.7,0.04,0.96%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,22.5,21.9,0.6,2.67%
hvhp_percent,19.63,19.2,0.43,2.21%
hvmp_time,7.2,7.2,0,0.00%
hvmp_percent,6.28,6.3,0.02,0.27%
hvlp_time,3,3,0,0.00%
hvlp_percent,2.62,2.6,0.02,0.68%
,,,,
=== RESULTS FOR FILE: 132-CXXXII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,94144.95,93582.5,562.45,0.60%
total_time,280.51,275.9,4.61,1.64%
rest_time,102.09,98.6,3.49,3.41%
first_quartile,415.31,440,24.69,5.94%
median_freq,493.88,493.9,0.02,0.00%
third_quartile,622.25,622.2,0.05,0.01%
lvhp_time,56.39,56.5,0.11,0.20%
lvhp_percent,31.6,31.8,0.2,0.62%
lvmp_time,8.53,8.5,0.03,0.34%
lvmp_percent,4.78,4.8,0.02,0.42%
lvlp_time,0.4,0.4,0,0.00%
lvlp_percent,0.22,0.2,0.02,10.79%
mvhp_time,46.16,47.4,1.24,2.68%
mvhp_percent,25.87,26.7,0.83,3.20%
mvmp_time,23.72,23.7,0.02,0.06%
mvmp_percent,13.29,13.4,0.11,0.81%
mvlp_time,0.8,0.8,0,0.00%
mvlp_percent,0.45,0.5,0.05,11.51%
hvhp_time,40.35,41.6,1.25,3.11%
hvhp_percent,22.61,23.5,0.89,3.92%
hvmp_time,28.27,28.1,0.17,0.60%
hvmp_percent,15.84,15.9,0.06,0.35%
hvlp_time,1.44,1.4,0.04,2.66%
hvlp_percent,0.81,0.8,0.01,0.76%
,,,,
=== RESULTS FOR FILE: 133-CXXXIII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,75366.49,72067.5,3298.99,4.38%
total_time,176.97,170.8,6.17,3.49%
rest_time,48.09,47.9,0.19,0.39%
first_quartile,466.16,466.2,0.04,0.01%
median_freq,587.33,587.3,0.03,0.01%
third_quartile,698.46,698.5,0.04,0.01%
lvhp_time,56.85,53.1,3.75,6.59%
lvhp_percent,44.11,43.2,0.91,2.06%
lvmp_time,3.89,3.8,0.09,2.29%
lvmp_percent,3.02,3.1,0.08,2.74%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,49.19,46.6,2.59,5.27%
mvhp_percent,38.17,37.9,0.27,0.70%
mvmp_time,8.33,7.9,0.43,5.20%
mvmp_percent,6.47,6.4,0.07,1.02%
mvlp_time,0.14,0.1,0.04,28.00%
mvlp_percent,0.11,0.1,0.01,7.20%
hvhp_time,38.5,36.7,1.8,4.67%
hvhp_percent,29.87,29.9,0.03,0.10%
hvmp_time,13.33,12.6,0.73,5.50%
hvmp_percent,10.35,10.3,0.05,0.44%
hvlp_time,0.28,0.3,0.02,8.00%
hvlp_percent,0.22,0.2,0.02,7.20%
,,,,
=== RESULTS FOR FILE: 134-CXXXIV.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,115440.74,115421.9,18.84,0.02%
total_time,302.57,302.5,0.07,0.02%
rest_time,86.48,86.5,0.02,0.03%
first_quartile,415.31,415.3,0.01,0.00%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,622.25,622.2,0.05,0.01%
lvhp_time,75.29,75.6,0.31,0.41%
lvhp_percent,34.84,35,0.16,0.45%
lvmp_time,10.87,10.9,0.03,0.23%
lvmp_percent,5.03,5,0.03,0.64%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,69.53,69.6,0.07,0.10%
mvhp_percent,32.17,32.2,0.03,0.08%
mvmp_time,22.07,22,0.07,0.30%
mvmp_percent,10.21,10.2,0.01,0.11%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,62.94,62.8,0.14,0.22%
hvhp_percent,29.12,29.1,0.02,0.09%
